period_ns,slack_ns,achieved_ns,area_um2,dynamic_power_W,leakage_power_W
1.0,-1.0179,2.0179,8257.97,1.525648e-02,1.854416e-04
1.5,-0.5073,2.0073,7789.54,9.675012e-03,1.675918e-04
1.7,-0.7039,2.4039,7505.99,1.010070e-02,1.671772e-04
2.0,-0.5513,2.5513,7542.70,8.231539e-03,1.675647e-04
2.2,-0.1837,2.3837,7790.87,7.401380e-03,1.751292e-04
2.5,-0.0143,2.5143,7736.61,7.133748e-03,1.697512e-04
3.0,0.0035,2.9965,7271.11,5.325308e-03,1.565672e-04
3.5,0.0011,3.4989,7201.42,5.010003e-03,1.521414e-04
4.0,0.0110,3.9890,6894.19,4.627991e-03,1.443488e-04
4.5,0.0006,4.4994,6403.42,4.176100e-03,1.339053e-04
5.0,0.0092,4.9908,6293.03,3.698380e-03,1.312961e-04
5.5,0.0008,5.4992,6257.12,3.215633e-03,1.301826e-04
6.0,0.0023,5.9977,6208.44,2.979899e-03,1.291825e-04
