period_ns,slack_ns,achieved_ns,area_um2,dynamic_power_W,leakage_power_W
1.0,-0.7491,1.7491,8869.77,2.182990e-02,2.055721e-04
1.5,-0.4845,1.9845,7749.91,1.424348e-02,1.729313e-04
1.7,-0.3088,2.0088,7522.21,1.238231e-02,1.688100e-04
2.0,-0.1540,2.1540,7153.80,1.111383e-02,1.602614e-04
2.2,0.0007,2.1993,6572.33,9.841506e-03,1.467341e-04
2.5,0.0005,2.4995,5959.73,8.549989e-03,1.318686e-04
3.0,0.0006,2.9994,5772.20,7.482602e-03,1.276286e-04
3.5,0.0026,3.4974,5693.73,7.060799e-03,1.256262e-04
4.0,0.0029,3.9971,5682.82,6.484262e-03,1.252528e-04
4.5,0.1908,4.3092,5676.97,6.185976e-03,1.247368e-04
5.0,0.5919,4.4081,5680.43,5.540795e-03,1.246489e-04
5.5,1.0917,4.4083,5679.90,5.030924e-03,1.246658e-04
6.0,1.5917,4.4083,5680.43,4.611412e-03,1.246608e-04
