period_ns,slack_ns,achieved_ns,area_um2,dynamic_power_W,leakage_power_W
1.0,-0.9388,1.9388,9814.87,2.855493e-02,2.248826e-04
1.5,-0.7180,2.2180,8409.59,1.680524e-02,1.906138e-04
1.7,-0.5220,2.2220,8516.26,1.572566e-02,1.936737e-04
2.0,-0.2277,2.2277,8141.73,1.340970e-02,1.852326e-04
2.2,-0.0360,2.2360,8119.12,1.285386e-02,1.861001e-04
2.5,0.0024,2.4976,6810.93,1.097359e-02,1.534786e-04
3.0,0.0015,2.9985,6567.27,9.867903e-03,1.484944e-04
3.5,0.0004,3.4996,6459.01,8.838036e-03,1.458452e-04
4.0,0.0126,3.9874,6425.50,8.835039e-03,1.451019e-04
4.5,0.1022,4.3978,6416.19,7.914108e-03,1.446415e-04
5.0,0.5227,4.4773,6414.59,7.213121e-03,1.442782e-04
5.5,0.9580,4.5420,6421.77,6.811223e-03,1.441765e-04
6.0,1.4423,4.5578,6421.77,6.552392e-03,1.441698e-04
