period_ns,slack_ns,achieved_ns,area_um2,dynamic_power_W,leakage_power_W
1.0,-0.8754,1.8754,9207.06,2.437501e-02,2.146529e-04
1.5,-0.5937,2.0937,8050.22,1.504306e-02,1.828976e-04
1.7,-0.5745,2.2745,7912.97,1.362509e-02,1.764510e-04
2.0,-0.2863,2.2863,7711.07,1.168485e-02,1.734493e-04
2.2,0.0002,2.1998,7409.70,1.059323e-02,1.653795e-04
2.5,0.0002,2.4998,6287.97,9.360628e-03,1.396826e-04
3.0,0.0013,2.9987,6023.30,7.991434e-03,1.337289e-04
3.5,0.0002,3.4998,5916.64,7.301724e-03,1.307793e-04
4.0,0.0051,3.9949,5891.37,6.488890e-03,1.303944e-04
4.5,0.0340,4.4660,5850.67,6.464560e-03,1.292251e-04
5.0,0.5076,4.4924,5851.47,5.802570e-03,1.294548e-04
5.5,0.8404,4.6596,5848.28,5.340590e-03,1.292447e-04
6.0,1.3415,4.6585,5847.74,4.946455e-03,1.292049e-04
